08-06-2023 | R$3200.00 | R$3200.00 | R$3411.00 | R$3411.00 |  R$211.00 | 106.59%
08-06-2023 | R$3200.00 | R$6400.00 | R$3411.00 | R$6822.00 |  R$422.00 | 106.59%
08-06-2023 | R$3200.00 | R$9600.00 | R$3411.00 | R$10233.00 |  R$633.00 | 106.59%
08-06-2023 | R$3200.00 | R$12800.00 | R$3411.00 | R$13644.00 |  R$844.00 | 106.59%
08-06-2023 | R$3200.00 | R$16000.00 | R$3411.00 | R$17055.00 |  R$1055.00 | 106.59%
08-06-2023 | R$3200.00 | R$19200.00 | R$3411.00 | R$20466.00 |  R$1266.00 | 106.59%
08-06-2023 | R$3200.00 | R$22400.00 | R$3411.00 | R$23877.00 |  R$1477.00 | 106.59%
08-06-2023 | R$3200.00 | R$25600.00 | R$3411.00 | R$27288.00 |  R$1688.00 | 106.59%
08-06-2023 | R$3200.00 | R$28800.00 | R$3411.00 | R$30699.00 |  R$1899.00 | 106.59%
08-06-2023 | R$3200.00 | R$32000.00 | R$3411.00 | R$34110.00 |  R$2110.00 | 106.59%
08-06-2023 | R$3200.00 | R$35200.00 | R$3411.00 | R$37521.00 |  R$2321.00 | 106.59%
08-06-2023 | R$3200.00 | R$38400.00 | R$3411.00 | R$40932.00 |  R$2532.00 | 106.59%
08-06-2023 | R$3200.00 | R$41600.00 | R$3411.00 | R$44343.00 |  R$2743.00 | 106.59%
08-06-2023 | R$3200.00 | R$44800.00 | R$3411.00 | R$47754.00 |  R$2954.00 | 106.59%
08-06-2023 | R$3200.00 | R$48000.00 | R$3411.00 | R$51165.00 |  R$3165.00 | 106.59%
08-06-2023 | R$3200.00 | R$51200.00 | R$3411.00 | R$54576.00 |  R$3376.00 | 106.59%
08-06-2023 | R$3200.00 | R$54400.00 | R$3411.00 | R$57987.00 |  R$3587.00 | 106.59%
08-06-2023 | R$3200.00 | R$57600.00 | R$3411.00 | R$61398.00 |  R$3798.00 | 106.59%
08-06-2023 | R$3200.00 | R$60800.00 | R$3411.00 | R$64809.00 |  R$4009.00 | 106.59%
08-06-2023 | R$3200.00 | R$64000.00 | R$3411.00 | R$68220.00 |  R$4220.00 | 106.59%
08-06-2023 | R$3200.00 | R$67200.00 | R$3411.00 | R$71631.00 |  R$4431.00 | 106.59%
08-06-2023 | R$3200.00 | R$70400.00 | R$3411.00 | R$75042.00 |  R$4642.00 | 106.59%
08-06-2023 | R$3200.00 | R$73600.00 | R$3411.00 | R$78453.00 |  R$4853.00 | 106.59%
08-06-2023 | R$3200.00 | R$76800.00 | R$3411.00 | R$81864.00 |  R$5064.00 | 106.59%
08-06-2023 | R$3200.00 | R$80000.00 | R$3411.00 | R$85275.00 |  R$5275.00 | 106.59%
08-06-2023 | R$3200.00 | R$83200.00 | R$3411.00 | R$88686.00 |  R$5486.00 | 106.59%
08-06-2023 | R$3200.00 | R$86400.00 | R$3411.00 | R$92097.00 |  R$5697.00 | 106.59%
08-06-2023 | R$3200.00 | R$89600.00 | R$3411.00 | R$95508.00 |  R$5908.00 | 106.59%
08-06-2023 | R$3200.00 | R$92800.00 | R$3411.00 | R$98919.00 |  R$6119.00 | 106.59%
08-06-2023 | R$3200.00 | R$96000.00 | R$3411.00 | R$102330.00 |  R$6330.00 | 106.59%
08-06-2023 | R$3200.00 | R$99200.00 | R$3411.00 | R$105741.00 |  R$6541.00 | 106.59%
08-06-2023 | R$3200.00 | R$102400.00 | R$3411.00 | R$109152.00 |  R$6752.00 | 106.59%
08-06-2023 | R$3200.00 | R$105600.00 | R$3411.00 | R$112563.00 |  R$6963.00 | 106.59%
08-06-2023 | R$3200.00 | R$108800.00 | R$3411.00 | R$115974.00 |  R$7174.00 | 106.59%
08-06-2023 | R$3200.00 | R$112000.00 | R$3411.00 | R$119385.00 |  R$7385.00 | 106.59%
08-06-2023 | R$3200.00 | R$115200.00 | R$3411.00 | R$122796.00 |  R$7596.00 | 106.59%
08-06-2023 | R$3200.00 | R$118400.00 | R$3411.00 | R$126207.00 |  R$7807.00 | 106.59%
08-06-2023 | R$3200.00 | R$121600.00 | R$3411.00 | R$129618.00 |  R$8018.00 | 106.59%
08-06-2023 | R$3200.00 | R$124800.00 | R$3411.00 | R$133029.00 |  R$8229.00 | 106.59%
08-06-2023 | R$3200.00 | R$128000.00 | R$3411.00 | R$136440.00 |  R$8440.00 | 106.59%
08-06-2023 | R$3200.00 | R$131200.00 | R$3411.00 | R$139851.00 |  R$8651.00 | 106.59%
08-06-2023 | R$3200.00 | R$134400.00 | R$3411.00 | R$143262.00 |  R$8862.00 | 106.59%
08-06-2023 | R$3200.00 | R$137600.00 | R$3411.00 | R$146673.00 |  R$9073.00 | 106.59%
08-06-2023 | R$3200.00 | R$140800.00 | R$3411.00 | R$150084.00 |  R$9284.00 | 106.59%
08-06-2023 | R$3200.00 | R$144000.00 | R$3411.00 | R$153495.00 |  R$9495.00 | 106.59%
08-06-2023 | R$3200.00 | R$147200.00 | R$3411.00 | R$156906.00 |  R$9706.00 | 106.59%
08-06-2023 | R$3200.00 | R$150400.00 | R$3411.00 | R$160317.00 |  R$9917.00 | 106.59%
08-06-2023 | R$3200.00 | R$153600.00 | R$3411.00 | R$163728.00 |  R$10128.00 | 106.59%
08-06-2023 | R$3200.00 | R$156800.00 | R$3411.00 | R$167139.00 |  R$10339.00 | 106.59%
08-06-2023 | R$3200.00 | R$160000.00 | R$3411.00 | R$170550.00 |  R$10550.00 | 106.59%
08-06-2023 | R$3200.00 | R$163200.00 | R$3411.00 | R$173961.00 |  R$10761.00 | 106.59%
08-06-2023 | R$3200.00 | R$166400.00 | R$3411.00 | R$177372.00 |  R$10972.00 | 106.59%
08-06-2023 | R$3200.00 | R$169600.00 | R$3411.00 | R$180783.00 |  R$11183.00 | 106.59%
08-06-2023 | R$3200.00 | R$172800.00 | R$3411.00 | R$184194.00 |  R$11394.00 | 106.59%
08-06-2023 | R$3200.00 | R$176000.00 | R$3411.00 | R$187605.00 |  R$11605.00 | 106.59%
08-06-2023 | R$3200.00 | R$179200.00 | R$3411.00 | R$191016.00 |  R$11816.00 | 106.59%
08-06-2023 | R$3200.00 | R$182400.00 | R$3411.00 | R$194427.00 |  R$12027.00 | 106.59%
08-06-2023 | R$3200.00 | R$185600.00 | R$3411.00 | R$197838.00 |  R$12238.00 | 106.59%
08-06-2023 | R$3200.00 | R$188800.00 | R$3411.00 | R$201249.00 |  R$12449.00 | 106.59%
08-06-2023 | R$3200.00 | R$192000.00 | R$3411.00 | R$204660.00 |  R$12660.00 | 106.59%
08-06-2023 | R$3200.00 | R$195200.00 | R$3411.00 | R$208071.00 |  R$12871.00 | 106.59%
08-06-2023 | R$3200.00 | R$198400.00 | R$3411.00 | R$211482.00 |  R$13082.00 | 106.59%
08-06-2023 | R$3200.00 | R$201600.00 | R$3411.00 | R$214893.00 |  R$13293.00 | 106.59%
08-06-2023 | R$3200.00 | R$204800.00 | R$3411.00 | R$218304.00 |  R$13504.00 | 106.59%
08-06-2023 | R$3200.00 | R$208000.00 | R$3411.00 | R$221715.00 |  R$13715.00 | 106.59%
08-06-2023 | R$3200.00 | R$211200.00 | R$3411.00 | R$225126.00 |  R$13926.00 | 106.59%
08-06-2023 | R$3200.00 | R$214400.00 | R$3411.00 | R$228537.00 |  R$14137.00 | 106.59%
08-06-2023 | R$3200.00 | R$217600.00 | R$3411.00 | R$231948.00 |  R$14348.00 | 106.59%
08-06-2023 | R$3200.00 | R$220800.00 | R$3411.00 | R$235359.00 |  R$14559.00 | 106.59%
08-06-2023 | R$3200.00 | R$224000.00 | R$3411.00 | R$238770.00 |  R$14770.00 | 106.59%
08-06-2023 | R$3200.00 | R$227200.00 | R$3411.00 | R$242181.00 |  R$14981.00 | 106.59%
08-06-2023 | R$3200.00 | R$230400.00 | R$3411.00 | R$245592.00 |  R$15192.00 | 106.59%
08-06-2023 | R$3200.00 | R$233600.00 | R$3411.00 | R$249003.00 |  R$15403.00 | 106.59%
08-06-2023 | R$3200.00 | R$236800.00 | R$3411.00 | R$252414.00 |  R$15614.00 | 106.59%
